ID,Study_Hours,Attendance,Result
1,High,High,Pass
2,High,Medium,Pass
3,High,Low,Pass
4,Medium,High,Pass
5,Medium,Medium,Pass
6,Medium,Low,Fail
7,Low,High,Fail
8,Low,Medium,Fail
9,Low,Low,Fail
10,High,High,Pass
11,High,Medium,Pass
12,High,Low,Pass
13,Medium,High,Pass
14,Medium,Medium,Pass
15,Medium,Low,Fail
16,Low,High,Fail
17,Low,Medium,Fail
18,Low,Low,Fail
19,High,High,Pass
20,High,Medium,Pass
21,High,Low,Pass
22,Medium,High,Pass
23,Medium,Medium,Pass
24,Medium,Low,Fail
25,Low,High,Fail
26,Low,Medium,Fail
27,Low,Low,Fail
28,High,High,Pass
29,High,Medium,Pass
30,High,Low,Pass
31,Medium,High,Pass
32,Medium,Medium,Pass
33,Medium,Low,Fail
34,Low,High,Fail
35,Low,Medium,Fail
36,Low,Low,Fail
37,High,High,Pass
38,High,Medium,Pass
39,High,Low,Pass
40,Medium,High,Pass
41,Medium,Medium,Pass
42,Medium,Low,Fail
43,Low,High,Fail
44,Low,Medium,Fail
45,Low,Low,Fail
46,High,High,Pass
47,High,Medium,Pass
48,High,Low,Pass
49,Medium,High,Pass
50,Medium,Medium,Pass
51,Medium,Low,Fail
52,Low,High,Fail
53,Low,Medium,Fail
54,Low,Low,Fail
55,High,High,Pass
56,High,Medium,Pass
57,High,Low,Pass
58,Medium,High,Pass
59,Medium,Medium,Pass
60,Medium,Low,Fail
61,Low,High,Fail
62,Low,Medium,Fail
63,Low,Low,Fail
64,High,High,Pass
65,High,Medium,Pass
66,High,Low,Pass
67,Medium,High,Pass
68,Medium,Medium,Pass
69,Medium,Low,Fail
70,Low,High,Fail
71,Low,Medium,Fail
72,Low,Low,Fail
73,High,High,Pass
74,High,Medium,Pass
75,High,Low,Pass
76,Medium,High,Pass
77,Medium,Medium,Pass
78,Medium,Low,Fail
79,Low,High,Fail
80,Low,Medium,Fail
81,Low,Low,Fail
82,High,High,Pass
83,High,Medium,Pass
84,High,Low,Pass
85,Medium,High,Pass
86,Medium,Medium,Pass
87,Medium,Low,Fail
88,Low,High,Fail
89,Low,Medium,Fail
90,Low,Low,Fail
91,High,High,Pass
92,High,Medium,Pass
93,High,Low,Pass
94,Medium,High,Pass
95,Medium,Medium,Pass
96,Medium,Low,Fail
97,Low,High,Fail
98,Low,Medium,Fail
99,Low,Low,Fail
100,High,High,Pass
101,High,Medium,Pass
102,High,Low,Pass
103,Medium,High,Pass
104,Medium,Medium,Pass
105,Medium,Low,Fail
106,Low,High,Fail
107,Low,Medium,Fail
108,Low,Low,Fail
109,High,High,Pass
110,High,Medium,Pass
111,High,Low,Pass
112,Medium,High,Pass
113,Medium,Medium,Pass
114,Medium,Low,Fail
115,Low,High,Fail
116,Low,Medium,Fail
117,Low,Low,Fail
118,High,High,Pass
119,High,Medium,Pass
120,High,Low,Pass
121,Medium,High,Pass
122,Medium,Medium,Pass
123,Medium,Low,Fail
124,Low,High,Fail
125,Low,Medium,Fail
126,Low,Low,Fail
127,High,High,Pass
128,High,Medium,Pass
129,High,Low,Pass
130,Medium,High,Pass
131,Medium,Medium,Pass
132,Medium,Low,Fail
133,Low,High,Fail
134,Low,Medium,Fail
135,Low,Low,Fail
136,High,High,Pass
137,High,Medium,Pass
138,High,Low,Pass
139,Medium,High,Pass
140,Medium,Medium,Pass
141,Medium,Low,Fail
142,Low,High,Fail
143,Low,Medium,Fail
144,Low,Low,Fail
145,High,High,Pass
146,High,Medium,Pass
147,High,Low,Pass
148,Medium,High,Pass
149,Medium,Medium,Pass
150,Medium,Low,Fail
151,Low,High,Fail
152,Low,Medium,Fail
153,Low,Low,Fail
154,High,High,Pass
155,High,Medium,Pass
156,High,Low,Pass
157,Medium,High,Pass
158,Medium,Medium,Pass
159,Medium,Low,Fail
160,Low,High,Fail
161,Low,Medium,Fail
162,Low,Low,Fail
163,High,High,Pass
164,High,Medium,Pass
165,High,Low,Pass
166,Medium,High,Pass
167,Medium,Medium,Pass
168,Medium,Low,Fail
169,Low,High,Fail
170,Low,Medium,Fail
171,Low,Low,Fail
172,High,High,Pass
173,High,Medium,Pass
174,High,Low,Pass
175,Medium,High,Pass
176,Medium,Medium,Pass
177,Medium,Low,Fail
178,Low,High,Fail
179,Low,Medium,Fail
180,Low,Low,Fail
181,High,High,Pass
182,High,Medium,Pass
183,High,Low,Pass
184,Medium,High,Pass
185,Medium,Medium,Pass
186,Medium,Low,Fail
187,Low,High,Fail
188,Low,Medium,Fail
189,Low,Low,Fail
190,High,High,Pass
191,High,Medium,Pass
192,High,Low,Pass
193,Medium,High,Pass
194,Medium,Medium,Pass
195,Medium,Low,Fail
196,Low,High,Fail
197,Low,Medium,Fail
198,Low,Low,Fail
199,High,High,Pass
200,Low,Low,Fail
